ws,year,mo,precip,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
1,1963,6,64.0,0.30,0.07,0.10,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,7,71.3,0.29,0.06,0.11,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,8,145.8,0.19,0.04,0.08,0.04,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,9,39.1,0.20,0.08,0.52,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,10,30.7,0.61,0.13,0.89,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,11,206.9,0.18,0.09,0.40,0.14,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,12,77.1,0.12,0.02,0.40,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,1,119.9,0.08,0.02,0.03,0.13,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,2,43.2,0.13,0.03,0.06,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,3,141.3,0.22,0.05,0.05,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,4,109.8,0.54,0.09,0.06,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,5,99.4,0.49,0.09,0.22,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,0.52,-3.0000,-3.0
1,1964,6,58.7,0.58,0.10,0.27,0.06,-3.000,0.300,4.25,4.20,0.770,0.38,-3.0000,-3.0
1,1964,7,127.4,0.29,0.04,0.21,0.07,-3.000,0.104,3.88,6.65,1.162,0.45,-3.0000,-3.0
1,1964,8,149.8,0.22,0.02,0.12,0.05,-3.000,0.133,4.38,2.11,0.134,0.14,-3.0000,-3.0
1,1964,9,35.7,0.62,0.37,0.22,0.21,-3.000,0.393,3.24,5.63,1.403,6.28,-3.0000,-3.0
